Code commune,pct_voix_exp_2014,pct_voix_exp_2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,delta_cadres,pop2014,pop2020,delta_pop,MED13,MED19
01034,48.83,0.0,0.16684864948961536,0.1891837292273975,0.02233507973778215,0.03767738418912588,0.038646707663792496,0.0009693234746666127,8983.0,9206.999999999987,223.99999999998727,18549.0,20030
01160,49.55,0.0,0.3586442789853146,0.372974764748512,0.014330485763197398,0.16045616425840742,0.13442131784524264,-0.02603484641316478,9336.999999999996,10612.0,1275.0000000000036,25508.3333333333,26770
01194,0.0,0.0,0.16615224470465229,0.1999368786492031,0.03378463394455081,0.05516092375532537,0.060754300142023036,0.005593376386697664,6221.999999999985,6337.0,115.00000000001455,21018.4615384615,22840
01249,54.39,37.86,0.2272430629608875,0.26592824936287,0.03868518640198251,0.09139332441387879,0.11566359537345619,0.0242702709595774,9424.999999999996,10202.0,777.0000000000036,22710.6666666667,24860
03001,80.49,0.0,0.17043313354788764,0.2045532942393929,0.03412016069150525,0.05336795090893457,0.05174197999310107,-0.0016259709158335037,2847.0,2899.0,52.0,20327.5,21810
04070,46.98,11.93,0.1915243744238446,0.21940337696967874,0.02787900254583414,0.04649849356389768,0.04573083960697434,-0.0007676539569233393,16304.000000000004,16863.99999999999,559.9999999999854,18928.3870967742,20390
04143,22.88,31.19,0.18753567161779888,0.21615985061320775,0.028624178995408867,0.06100497791859295,0.048919526619755745,-0.012085451298837202,5792.0,5920.0,128.0,19953.0,22120
05023,52.72,20.28,0.21968330095391092,0.27044706075014874,0.05076375979623782,0.03972344992998295,0.05151825382639305,0.011794803896410098,12392.0,10779.999999999996,-1612.0000000000036,18886.0,20490
06010,0.0,0.0,0.25110700702538,0.27938876883152064,0.028281761806140615,0.09893469437152846,0.09847281240816638,-0.00046188196336208187,2998.0,2927.0,-71.0,22318.0,24550
06033,74.92,0.0,0.15121541647622988,0.19191071145158123,0.04069529497535135,0.05935974291441372,0.05416310864976626,-0.005196634264647455,11954.999999999996,12875.000000000004,920.0000000000073,19815.5,22010
06083,15.35,0.0,0.17884328258771484,0.20020823395951642,0.021364951371801583,0.04392435390429162,0.05006653461406697,0.006142180709775347,28562.999999999993,30679.00000000001,2116.000000000018,19862.0,21820
06088,17.85,19.3,0.22714230170162258,0.26520608697965276,0.03806378527803017,0.07274728265840912,0.0801097448551047,0.0073624621966955905,343895.00000000006,343476.99999999994,-418.0000000001164,18833.8888888889,20530
06095,0.0,0.0,0.24434602771618325,0.25965168676166117,0.015305659045477926,0.08433486538977475,0.0803799780781878,-0.003954887311586955,8059.999999999996,8211.0,151.00000000000364,22536.0,24350
06118,0.0,0.0,0.19745547073791347,0.24234688778662364,0.044891417048710164,0.06590330788804072,0.07927963481744767,0.013376326929406948,3930.0,3927.0,-3.0,21471.3333333333,23970
06122,0.0,0.0,0.2721712200553185,0.3001795741231869,0.02800835406786839,0.10823393713940305,0.08587239459235163,-0.022361542547051416,4029.999999999991,4317.0,287.0000000000091,24854.4,26650
06136,0.0,0.0,0.15871477401177703,0.1940928270042194,0.03537805299244237,0.04482440110641787,0.044831223628691984,6.822522274116394e-06,3709.0,3792.0,83.0,20046.0,21570
06137,0.0,0.0,0.2877030162412993,0.3058912382815583,0.018188222040258994,0.08043310131477185,0.06460719581135883,-0.01582590550341302,1293.0,1171.0,-122.0,23160.5217391304,26600
06140,0.0,0.0,0.22128395371759127,0.25826664182762854,0.03698268811003727,0.06613320054604213,0.06405015434009287,-0.0020830462059492627,3298.0000000000105,3069.0,-229.00000000001046,23666.6666666667,25270
06155,15.649999999999999,0.0,0.19210588857174055,0.18804830266517103,-0.004057585906569516,0.05815900003344631,0.05767337086740367,-0.0004856291660426393,26301.999999999996,27970.0,1668.0000000000036,18914.0,20870
06157,0.0,0.0,0.2769593028581656,0.30153038302543167,0.024571080167266057,0.0883164577449493,0.08860922112364716,0.00029276337869786617,18536.0,19315.00000000001,779.0000000000109,21446.1538461538,23530
07341,73.28999999999999,0.0,0.14617728959194934,0.19220607661822986,0.04602878702628052,0.020188090317769976,0.03632760898282695,0.016139518665056973,2927.0,3028.0,101.0,19150.303030303,20340
07346,40.48,0.0,0.1565115147587156,0.1805290428142896,0.024017528055574,0.028140157728405002,0.05044995909462776,0.022309801366222758,3788.000000000013,3667.0,-121.00000000001319,19121.3043478261,20900
08174,38.49,0.0,0.11512053268827449,0.15322480695257065,0.03810427426429616,0.025701870891989376,0.042019350135090804,0.016317479243101427,2487.0,2293.0,-194.0,19632.6666666667,21900
08363,47.77,43.42,0.08669905860917097,0.10874745894347854,0.022048400334307564,0.020498026116003643,0.021477948836996413,0.00097992272099277,6586.0,5825.0,-761.0,16253.3333333333,17530
08409,51.34,53.99,0.10884885083583927,0.13328221784562452,0.024433367009785253,0.030957551529610217,0.031166228290314287,0.00020867676070407057,17828.999999999996,16376.000000000013,-1452.9999999999836,15132.0,16570
09157,25.87,0.0,0.0924115316605098,0.11758317528125743,0.025171643620747627,0.015847233653763726,0.02104221197468394,0.005194978320920213,2490.0,2391.0,-99.0,17326.6666666667,18130
09225,23.78,19.92,0.15088403993553381,0.17329432538350945,0.02241028544797563,0.03822852584612656,0.036910019228555406,-0.001318506617571151,15518.000000000004,15937.99999999999,419.99999999998727,17381.1111111111,18700
09261,62.42,91.08000000000001,0.17376851328824855,0.1890280459540633,0.015259532665814757,0.03547174920460782,0.042295168289102104,0.006823419084494284,6283.999999999996,6415.0,131.00000000000364,18371.4285714286,19480
10362,53.65,33.51,0.1920845765283615,0.21051434797537918,0.018429771447017684,0.06581053622477197,0.06267445926874395,-0.003136076956028022,10133.999999999996,10496.0,362.00000000000364,19348.125,20720
11069,39.24,37.42,0.18899677327178607,0.21206326371017828,0.023066490438392206,0.04809082174529281,0.0475582550588552,-0.0005325666864376133,45940.99999999999,46672.999999999985,731.9999999999927,17087.3333333333,18450
11203,56.25,49.87,0.12410689616801207,0.1382886939401279,0.01418179777211584,0.027548258588018133,0.025746436808736558,-0.0018018217792815754,11247.999999999996,11112.0,-135.99999999999636,16446.0,18220
11262,43.82,47.55,0.19492492224137273,0.21203153651525863,0.017106614273885906,0.04685026727975832,0.04823745315832224,0.0013871858785639152,52855.0,56123.00000000001,3268.0000000000073,17245.0,18890
11272,100.0,0.0,0.24568965517241378,0.28772466664784857,0.042035011475434786,0.07112068965517242,0.07017919157041626,-0.0009414980847561594,2233.0,2496.0,263.0,21923.4782608696,23720
12145,34.94,44.54,0.1811648655065591,0.22084980493765546,0.039684939431096355,0.04156824584818156,0.0436858225411003,0.0021175766929187392,22064.0,21482.000000000004,-581.9999999999964,18579.1666666667,20010
12202,64.77,26.65,0.24246152678396543,0.2753748996224787,0.032913372838513255,0.06814564151859585,0.07053161902020003,0.0023859775016041723,24088.0,24397.000000000007,309.0000000000073,19889.3333333333,21090
12208,59.2,41.04,0.16175939104930404,0.18587314274662992,0.02411375169732588,0.039347834871710674,0.04350591686362336,0.004158081991912685,8259.999999999987,8018.00000000001,-241.99999999997726,19114.3333333333,20600
13001,36.49,24.35,0.3177577899054345,0.35686890110113123,0.03911111119569671,0.12825508999938814,0.14227511293344342,0.01402002293405527,142149.0,147122.00000000003,4973.000000000029,22152.6666666667,24590
13002,55.07,0.0,0.2733988990351829,0.30353562937468354,0.03013673033950065,0.10189556477688251,0.10311761969902176,0.001222054922139254,21480.999999999996,21546.0,65.00000000000364,24463.0434782609,26190
13004,46.13,42.78,0.17609513157759038,0.20912422521127158,0.0330290936336812,0.04500907207793574,0.048988759864211445,0.003979687786275707,52697.0,50968.0,-1729.0,17464.6666666667,18990
13005,40.88,43.22,0.19288718773121802,0.22239908037458267,0.02951189264336465,0.059949211648620354,0.06248071258865902,0.002531500940038664,45127.99999999998,47190.00000000001,2062.000000000029,19568.6666666667,21300
13028,22.63,20.1,0.21580754694198753,0.25198136029474005,0.03617381335275252,0.0689514972702703,0.07093579285572914,0.0019842955854588312,35631.0,36441.00000000001,810.0000000000073,19966.6666666667,22280
13041,39.01,28.11,0.19335038174191038,0.2149718330094237,0.02162145126751333,0.0673132186665312,0.06461994167387909,-0.0026932769926521077,19909.999999999996,21501.00000000001,1591.0000000000146,20170.7692307692,21820
13046,100.0,47.279999999999994,0.23530870319861147,0.28869952444344527,0.0533908212448338,0.09571038928837095,0.10649845604885166,0.010788066760480719,4033.0,4281.0,248.0,23140.0,25200
13050,38.72,18.02,0.2857346367755039,0.3171291674985027,0.03139453072299875,0.10332662176657806,0.10381313635456178,0.0004865145879837246,9459.000000000002,10018.0,558.9999999999982,22480.4444444444,24630
13082,18.92,0.0,0.2942069514878282,0.34589927586615055,0.05169232437832233,0.132285223032734,0.11844432574506435,-0.013840897287669643,4776.999999999984,4616.0,-160.99999999998363,24832.6666666667,27140
13098,32.88,0.0,0.23678463399392466,0.2568505473933742,0.020065913399449548,0.08724627760104477,0.08897582014836525,0.0017295425473204812,5841.000000000002,5818.0,-23.00000000000182,23935.2,25740
13100,50.18,50.05,0.19332662466153536,0.28313736160101133,0.08981073693947597,0.06089807927966262,0.07782339481600546,0.01692531553634284,9764.999999999996,9692.000000000013,-72.99999999998363,19041.5,21730
13108,0.0,0.0,0.14437804759550407,0.13443196753137995,-0.009946080064124119,0.03153916027547039,0.03213870179913633,0.000599541523665939,14583.000000000002,15508.0,924.9999999999982,16018.0952380952,17370
13110,30.07,24.81,0.24302653946649547,0.2607285356665126,0.01770199620001714,0.08970620765154184,0.09741675845454659,0.007710550803004743,10895.999999999996,10507.0,-388.99999999999636,21565.0,24200
14117,10.0,0.0,0.12601025721914683,0.16580965014993135,0.03979939293078452,0.010780133321399387,0.03693791377496554,0.026157780453566152,3673.0000000000055,3511.0,-162.00000000000546,18855.0,21700
14221,79.69,0.0,0.14930841447042711,0.16323852052386614,0.013930106053439029,0.04395603350625312,0.0472827306020999,0.0033266970958467784,3245.0,3063.0,-182.0,20830.8,22400
14341,64.48,40.13,0.16349623940139626,0.19419598553695439,0.03069974613555812,0.052591554479500244,0.052001900472199214,-0.0005896540073010298,11525.0,11901.999999999996,376.99999999999636,19623.5,21370
14366,20.22,34.71,0.11926066973411671,0.14587668116739233,0.02661601143327562,0.03282544031010915,0.03304500340066225,0.00021956309055309875,20880.999999999996,19754.999999999996,-1126.0,16512.0,18480
14536,0.0,0.0,0.18565573770491806,0.21050568404547237,0.02484994634055432,0.0737704918032787,0.06860054880439044,-0.005169942998888261,2371.0,2551.0,180.0,20680.0,22580
14715,20.92,0.0,0.14886344924434158,0.18277714076113877,0.033913691516797184,0.029678595540427195,0.031429701523452445,0.0017511059830252508,4708.000000000011,4602.99999999999,-105.00000000002092,18807.0,20800
16102,49.76,26.36,0.18664984253748276,0.2149447581126167,0.028294915575133944,0.0539479755854954,0.0606492088956266,0.006701233310131199,18716.999999999996,18606.0,-110.99999999999636,18941.6666666667,21000
16271,0.0,0.0,0.286393160622954,0.3416246394497036,0.055231478826749614,0.10676938005680282,0.09912910199414693,-0.007640278062655895,2403.000000000006,2382.0,-21.00000000000591,25046.1904761905,26420
17010,59.839999999999996,41.47,0.22710526315789473,0.2693068622997467,0.04220159914185198,0.06157894736842105,0.08223609091464312,0.02065714354622207,3800.0,4063.0,263.0,23159.5652173913,25480
17028,40.79,61.95,0.2319196962808254,0.2983366773709775,0.06641698109015212,0.07066247496092447,0.08810810434031148,0.017445629379387012,8821.000000000004,9397.000000000013,576.0000000000091,20421.6666666667,21460
17218,31.33,37.5,0.13846459862548202,0.1609211698021013,0.022456571176619283,0.03328274809436941,0.03532371548536746,0.002040967390998051,4589.999999999992,4512.0,-77.99999999999181,19055.119047619,20340
17230,77.75,0.0,0.15244222370678548,0.18228233366282975,0.029840109956044275,0.02622580635444681,0.0431612143780396,0.016935408023592793,3044.0,3131.0,87.0,20620.0,23280
17299,37.67,41.14,0.161737266838864,0.18429969289348797,0.02256242605462397,0.04538137056667945,0.05189860135269801,0.006517230786018562,24299.999999999993,23410.000000000004,-889.9999999999891,17771.0,19520
17300,83.78,100.0,0.22423984617631348,0.26885986945691887,0.04462002328060538,0.07032811218111096,0.08033725064975861,0.01000913846864765,74998.0,77210.0,2212.0,19154.0,21010
17306,15.86,14.32,0.17518314707075558,0.22751878921177868,0.0523356421410231,0.03684956171302606,0.03808081017063866,0.0012312484576126048,18388.0,18637.999999999975,249.99999999997453,20051.4285714286,22340
17415,44.27,44.86,0.19470022569422246,0.23249443826961916,0.037794212575396696,0.05518817973598172,0.06159194603625663,0.006403766300274914,25149.000000000004,25412.000000000007,263.00000000000364,18993.9130434783,21010
17420,32.21,0.0,0.21815519765739386,0.288155941104577,0.07000074344718313,0.04880429477794046,0.0795401734029475,0.03073587862500704,2049.0,2324.0,275.0,23005.3333333333,25150
17452,0.0,0.0,0.11489347596224232,0.14850701604647065,0.03361354008422833,0.029575301231558014,0.025443667020378872,-0.004131634211179142,4792.0,4326.0,-466.0,19428.0,21780
18033,46.36,54.95,0.19997015293784243,0.23781917358997542,0.037849020652133,0.07028346631382562,0.07461030533906866,0.004326839025243043,66528.0,64362.000000000015,-2165.9999999999854,19306.0,20810
18207,40.9,45.21,0.12129952206608498,0.13663439082987888,0.015334868763793905,0.028950266990646886,0.035563298870717665,0.0066130318800707785,6616.000000000011,6432.0,-184.0000000000109,19178.0952380952,20470
