CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01001;322;819;23970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01002;113;263;23640;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01004;6711;15040;20510;56;18;21;23;21;16;10;s;6;28;70,1;63,4;3,1;3,6;25,6;12,3;7,7;2,8;3,1;1,8;-15,7;11080;35230;3,2
01005;720;1823;24050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01006;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01007;1160;2853;23380;63;s;s;s;s;s;s;s;s;s;76,9;71,9;2,2;2,8;26;7,4;4,9;2,4;1,6;0,9;-15,2;14360;36840;2,6
01008;328;787;25450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01009;149;343;23790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01010;452;1100;23770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01011;146;387;24450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01012;140;317;21070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01013;68;133;19900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01014;1347;3473;21460;58;11;s;s;s;s;s;s;s;22;70,4;65;3,3;2,1;30,5;10,6;5,1;2,5;1,7;0,9;-16,6;12770;36260;2,8
01015;306;691;22700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01016;175;469;21840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01017;199;417;20120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01019;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01021;547;1409;24810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01022;568;1179;20690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01023;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01024;1353;3377;22820;63;7;s;s;s;s;s;s;s;s;78,9;72,1;2,2;4,6;25,7;6,8;4,7;2,5;1,4;0,8;-16,1;14620;35420;2,4
01025;1584;4162;22970;59;6;s;s;s;s;s;s;s;s;78,2;71;1,9;5,3;23,9;8,9;4,5;2,5;1,4;0,6;-15,5;14600;35580;2,4
01026;419;915;21060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01027;710;1980;24250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01028;214;523;22560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01029;255;584;20780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01030;362;845;22990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01031;1559;3474;19570;53;20;s;s;27;s;s;s;s;32;66,5;61,1;3,7;1,7;31,7;9,1;7,6;2,8;3,1;1,7;-14,9;10820;34350;3,2
01032;1189;3226;21980;62;7;s;s;s;s;s;s;s;s;80,5;74,6;3,1;2,8;22,7;6,2;5,8;3,5;1,4;0,9;-15,2;13910;37560;2,7
01033;6625;15253;22440;52;16;20;18;18;16;12;s;6;27;79,6;73,8;3,5;2,3;23,3;6,5;4,9;1,9;1,9;1,1;-14,3;10830;46240;4,3
01034;4099;8865;20030;52;17;s;25;22;13;14;s;6;28;64,7;57,1;3,2;4,4;33,7;8,8;7,9;2,7;3,5;1,7;-15,1;10990;34620;3,1
01035;142;311;24210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01036;582;1308;22890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01037;123;279;21450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01038;323;762;22980;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01039;206;489;21230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01040;185;488;21610;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01041;336;786;22810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01042;117;306;24570;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01043;1886;4899;28010;74;5;s;s;s;s;s;s;s;s;82,2;74,1;2,6;5,5;24,3;10,2;3,1;1,6;1;0,5;-19,8;16480;49000;3
01044;256;617;25780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01045;103;292;26530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01046;340;848;22870;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01047;463;1273;25410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01049;1255;3395;25350;70;s;s;s;s;s;s;s;s;s;80,2;73,5;2,7;4;24;9;3,9;2,2;1,1;0,6;-17,1;15270;41370;2,7
01050;133;361;20770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01051;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01052;127;308;26780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01053;18546;37218;19290;52;22;27;30;28;21;16;10;5;34;64;57,4;3,3;3,3;33,8;9;9;2,7;4,1;2,2;-15,8;10170;34790;3,4
01054;562;1563;26360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01056;147;346;20200;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01057;205;493;22460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01058;340;805;22180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01060;238;535;23990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01061;452;1180;24200;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01062;364;957;27790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01063;231;553;24930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01064;452;1092;22230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01065;741;1857;25650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01066;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01067;111;267;23180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01068;316;714;21270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01069;630;1496;24070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01071;1860;4690;39170;64;9;s;s;s;s;s;s;s;16;97,3;91,3;2,8;3,2;13,1;6,8;1,2;0,5;0,4;0,3;-18,4;13750;81120;5,9
01072;1308;3057;24450;67;s;s;s;s;s;s;s;s;s;75,7;67;2,3;6,4;28,2;10,3;4,3;2;1,5;0,8;-18,5;14340;40000;2,8
01073;458;1059;23630;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01074;1047;2499;22050;57;11;s;s;s;s;s;s;s;s;79;72,1;3,1;3,8;21,5;9,5;5,5;2,5;2;1;-15,5;12650;34760;2,7
01075;522;1376;23890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01076;76;135;21600;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01077;93;176;21620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01078;526;1289;40710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01079;298;673;21380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01080;280;634;22060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01081;313;697;25310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01082;211;499;25150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01083;364;950;23920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01084;333;918;22320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01085;152;399;24350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01087;127;295;24460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01088;360;954;27040;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01089;862;2305;23440;63;s;s;s;s;s;s;s;s;s;81,6;75,2;2;4,4;21,5;6,6;5,2;3;1,3;0,9;-14,9;14290;34830;2,4
01090;153;368;22780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01092;654;1670;24440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01093;2248;4682;21990;57;11;s;s;s;s;s;s;s;19;66;58,9;2,8;4,3;34,4;10,3;5,3;2;2,1;1,2;-16;13000;36520;2,8
01094;314;765;22180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01095;327;784;21550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01096;400;1051;21890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01098;457;1156;21250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01099;660;1594;24930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01100;79;148;20970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01101;65;153;27470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01102;387;989;22490;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01103;735;1909;40750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01104;192;433;25530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01105;692;1895;27000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01106;74;178;22170;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01107;66;145;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01108;508;1099;21990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01109;802;2079;32180;46;11;s;s;s;s;s;s;s;s;90,5;85,7;3,1;1,7;11,8;4,5;1,9;0,8;0,7;0,4;-8,7;12600;64460;5,1
01110;69;151;20480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01111;57;120;21330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01112;173;473;23770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01113;334;833;22070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01114;220;537;27400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01115;549;1357;22470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01116;218;512;23090;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01117;59;151;21460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01118;429;1000;25360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01121;45;105;23740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01123;443;1159;24080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01124;304;695;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01125;263;612;22480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01127;215;478;23760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01128;134;308;21320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01129;116;299;24560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01130;892;2342;22850;62;s;s;s;s;s;s;s;s;s;80,3;72,5;2;5,8;22,6;7,7;4,4;2,6;1,2;0,6;-15;14810;34140;2,3
01133;172;414;24120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01134;734;1851;23110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01135;722;1938;40730;56;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01136;359;960;23490;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01138;1264;2782;20530;53;12;s;s;s;s;s;s;s;20;67,3;61,5;3,5;2,3;31,7;8,1;6,4;2,8;2,3;1,3;-13,5;12330;33380;2,7
01139;187;438;19550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01140;292;737;23500;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01141;178;429;25060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01142;1829;4732;24290;67;7;s;s;s;s;s;s;s;15;81,5;74,7;2,9;3,9;22;8,5;4,6;2,4;1,4;0,8;-16,6;14280;39440;2,8
01143;4044;9507;44820;68;8;s;s;8;11;s;s;5;13;96,3;90,3;3,1;2,9;14,9;9,4;0,9;0,3;0,4;0,2;-21,5;14650;104130;7,1
01145;491;1161;22310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01146;159;432;22750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01147;203;471;19880;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01148;798;1920;22720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01149;444;1104;26270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01150;89;225;24280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01151;483;1112;23260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01152;296;752;26060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01153;732;2047;47550;65;s;s;s;s;s;s;s;s;s;93,9;89;2,2;2,7;16,4;7,5;0,6;0,3;0,2;0,1;-18,4;16540;94440;5,7
01155;67;153;22370;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01156;314;847;24600;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01157;916;2350;26090;68;s;s;s;s;s;s;s;s;s;76,6;70,1;2,1;4,4;25,3;14;3,2;1,7;1;0,5;-19,1;15720;44030;2,8
01158;355;899;34820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01159;1484;3437;22850;63;6;s;s;s;s;s;s;s;s;74,4;66,9;2,2;5,3;27,6;9,8;4,2;1,9;1,6;0,7;-16;14870;37830;2,5
01160;3535;7467;26770;45;22;s;19;27;28;20;s;16;27;82,7;78;3,1;1,6;21,8;9;2,6;0,9;1,1;0,6;-16,1;7560;70080;9,3
01162;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01163;821;1961;22760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01165;574;1613;24830;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01166;978;2571;25200;69;s;s;s;s;s;s;s;s;s;80,7;73,5;2,6;4,6;23,7;9,5;3,6;1,9;1,1;0,6;-17,5;15640;39270;2,5
01167;275;690;23170;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01169;250;691;23800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01170;377;1069;23020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01171;326;908;23720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01173;5083;11710;33070;64;11;s;9;13;12;s;s;6;16;98,8;93,6;3,1;2,1;11,4;5,7;2,1;0,8;0,8;0,5;-18;12360;70330;5,7
01174;70;168;25000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01175;344;855;21160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01177;81;166;22750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01179;823;1917;23250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01180;304;750;49690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01181;450;1230;23810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01183;566;1477;24720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01184;348;789;22470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01185;2011;4006;21990;57;11;s;s;s;s;s;s;s;21;63,4;55,8;2,6;5;37,2;8,9;5,6;1,9;2,5;1,2;-15,1;12890;34640;2,7
01187;317;662;23410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01188;244;688;22470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01189;441;1065;27050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01191;68;153;24760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01192;913;2212;22240;64;s;s;s;s;s;s;s;s;s;81,2;75,2;2,5;3,5;21,5;8,5;4,8;2,3;1,4;1,1;-16;14200;35500;2,5
01193;96;213;22550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01194;2581;6166;22840;61;9;s;s;s;s;s;s;s;19;72,8;66;3,1;3,7;29,8;7,5;5,3;2,2;1,9;1,2;-15,4;13420;36830;2,7
01195;697;1729;24440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01196;445;1151;21520;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01197;176;399;24950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01198;99;246;23950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01199;882;1954;22060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01200;78;191;22410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01202;3268;7383;22490;60;9;s;s;s;s;s;s;5;17;72,9;65,8;2,9;4,2;29,3;8,2;5,3;2,2;2;1,1;-15,7;13590;36800;2,7
01203;526;1294;23190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01204;282;710;25250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01206;117;278;23400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01207;117;324;27960;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01208;63;127;23500;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01209;263;709;30330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01210;111;208;21610;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01211;605;1368;23930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01212;276;679;21010;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01213;512;1365;23480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01214;74;163;24150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01215;56;134;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01216;365;827;22280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01219;76;157;19170;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01224;1284;3275;22530;62;8;s;s;s;s;s;s;s;s;80,8;74,5;3,2;3,1;22,2;6,7;5;3;1,3;0,7;-14,7;14150;34370;2,4
01225;147;356;25590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01227;265;647;23660;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01228;268;659;25750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01229;529;1248;23090;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01230;132;317;20700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01231;819;2036;23750;63;s;s;s;s;s;s;s;s;s;70,4;62,9;1,4;6,1;29,6;12,9;3,2;1,8;0,9;0,5;-16,1;15320;35620;2,3
01232;936;2182;22940;57;s;s;s;s;s;s;s;s;s;66,9;59,5;2,2;5,2;32,9;11,4;4;1,9;1,4;0,7;-15,2;14250;36420;2,6
01233;60;129;23840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01234;71;152;23820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01235;447;1132;22340;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01236;407;1012;21740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01237;645;1704;22800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01238;1046;2818;27410;74;s;s;s;s;s;s;s;s;s;80,7;73,4;2,6;4,7;23,3;10,6;3,5;1,9;1;0,6;-18,1;16480;43350;2,6
01239;263;634;23830;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01240;271;637;23260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01241;564;1306;24650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01242;56;122;18380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01243;492;1247;25670;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01244;3317;7900;23280;60;9;s;s;10;s;s;s;s;19;79,7;74,3;2,7;2,7;23,8;6,8;5,9;2,5;2,2;1,2;-16,2;13320;38500;2,9
01245;373;872;24000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01246;870;2109;22590;58;11;s;s;s;s;s;s;s;s;68,4;61,1;2,6;4,7;31,3;9,5;5,5;2,6;1,9;1;-14,7;12950;36630;2,8
01247;141;303;28110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01248;860;2301;28060;77;s;s;s;s;s;s;s;s;s;81,8;75,4;2,3;4,1;20;14,1;2,6;1,3;0,8;0,5;-18,5;16650;45750;2,7
01249;3955;9376;24860;67;9;s;10;11;s;s;s;s;19;78,8;72,4;2,5;3,9;23,7;11,1;4,3;2;1,4;0,9;-17,9;13410;42710;3,2
01250;689;1906;26310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01252;316;848;24980;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01254;839;2196;25970;73;s;s;s;s;s;s;s;s;s;78,1;69,7;2,6;5,8;25,7;13,4;3,4;1,7;1,1;0,6;-20,6;16310;44970;2,8
01255;268;632;21410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01257;139;340;26580;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
