COM,score_gauche_2014,score_gauche_2020,score_gauche_pres_2017,score_gauche_pres_2022,delta_score_gauche_pres,delta_score_gauche_municipales,pop_2014,pop_2017,pop_2020,pop_2022,log_pop_2014,log_pop_2020,log_pop_2017,log_pop_2022,croissance_pop_14_20,croissance_pop_17_22,pct_sup_2014,pct_sup_2017,pct_sup_2020,pct_sup_2022,delta_pct_diplome_17_22,delta_pct_diplome_14_20,pct_cadres_2014,pct_cadres_2017,pct_cadres_2020,pct_cadres_2022,delta_pct_cadres_17_22,delta_pct_cadres_14_20,med_2013,med_2019,med_2016,log_med_16,log_med_13,log_med_19
01004,38.69,0.0,29.24,34.45,5.210000000000004,-38.69,14021.999999999998,14035.0,14288.0,15553.999999999989,9.548382803766913,9.567175303116281,9.549309488795982,9.652073119254888,0.01879249934936844,0.10276363045890591,0.16590551632339764,0.1863572395156166,0.20142128739163634,0.20880029514550166,0.02244305562988505,0.035515771068238694,0.05300873478559836,0.05594595668080674,0.056316594352612985,0.06321240388377772,0.007266447202970976,0.003307859567014626,19554.0,20510.0,19721.0,9.889439336810069,9.880935148065616,9.928667851066427
01007,46.78,0.0,26.1,26.52,0.41999999999999815,-46.78,2570.0,2726.0,2827.0,2828.0,7.851661177889265,7.946971357693591,7.9105906122564775,7.947325027016463,0.09531017980432566,0.03673441475998551,0.1933852140077821,0.21962148644277735,0.21979875693019707,0.22008221356020616,0.0004607271174288108,0.026413542922414962,0.07587548638132295,0.0749927026877777,0.07470971594571348,0.07608784830670721,0.0010951456189295106,-0.0011657704356094756,21650.6666666667,23380.0,22146.451612903224,10.005432564577141,9.982791525874175,10.05963623502606
01034,48.83,0.0,26.42,31.85,5.43,-48.83,8983.0,9102.99999999998,9206.999999999989,9270.0,9.103089181229207,9.127719343287845,9.116359308505286,9.1345386585599,0.02463016205863866,0.018179350054614574,0.16684864948961536,0.1670800523617823,0.18918372922739748,0.18996763754045307,0.02288758517867076,0.02233507973778212,0.03767738418912588,0.03782487930639528,0.03864670766379248,0.03978516835364601,0.001960289047250728,0.0009693234746665988,18549.0,20030.0,18818.0,9.842569137566711,9.828171158226679,9.904986428659864
01160,49.55,0.0,29.7,40.07,10.370000000000001,-49.55,9336.999999999995,9766.0,10612.0,11530.0,9.141740280483925,9.26974071525763,9.186662244621605,9.352707613263105,0.12800043477370515,0.1660453686415,0.35864427898531465,0.3746013579952212,0.372974764748512,0.4076141998749266,0.03301284187970538,0.014330485763197343,0.16045616425840745,0.13494154164905592,0.13442131784524264,0.19485691507068698,0.05991537342163106,-0.02603484641316481,25508.3333333333,26770.0,26579.33333333333,10.187889250437767,10.146760475145502,10.195037136514399
01185,38.72,0.0,29.419999999999998,31.71,2.2900000000000027,-38.72,3829.000000000012,4853.0,4824.0,4790.0,8.250358951477297,8.481358738407021,8.487352349405215,8.474285690404962,0.23099978692972378,-0.013066659000253722,0.1677941018789308,0.18220995191781558,0.23145701540954416,0.23423799582463464,0.05202804390681906,0.06366291353061337,0.022885269410930328,0.02981194189805131,0.04602118238135531,0.047080765651331735,0.017268823753280427,0.02313591297042498,20198.1481481481,21990.0,21040.5,9.954204430827836,9.913346203352557,9.998343083548807
01249,54.39,37.86,22.55,30.589999999999996,8.039999999999996,-16.53,9424.999999999996,9962.999999999989,10202.0,10450.0,9.151121012316212,9.230339058482873,9.206633510044854,9.254357257392957,0.07921804616666073,0.04772374734810292,0.2272430629608875,0.22747621235325888,0.26592824936287,0.2639825108092678,0.036506298456008945,0.03868518640198251,0.09139332441387879,0.09157363250969998,0.11566359537345619,0.11056076179436555,0.018987129284665574,0.0242702709595774,22710.6666666667,24860.0,24033.33333333333,10.08719703460493,10.03058999031236,10.121015365064702
01262,43.42,0.0,26.83,33.78,6.950000000000003,-43.42,7036.0,6963.99999999998,6864.0,6879.0,8.85879510585745,8.834045641167798,8.848509300888077,8.836228571526014,-0.024749464689652,-0.012280729362062814,0.17282546901648663,0.20796675574189233,0.20869907383465416,0.20962356297739465,0.0016568072355023222,0.03587360481816754,0.07205798749289369,0.07396307212577792,0.0740628886586221,0.07263934702552056,-0.0013237251002573558,0.0020049011657284066,20005.0,22780.0,21097.14285714285,9.956892900681366,9.903737521291335,10.033638237001172
01290,42.65,0.0,17.46,23.61,6.149999999999999,-42.65,1206.0,1201.0,1309.0,1382.0,7.095064377287131,7.1770187659099,7.0909098220799835,7.231287004327616,0.08195438862276916,0.14037718224763207,0.17510373443983362,0.17488702327555197,0.28817301798392436,0.28798842257597684,0.11310139930042487,0.11306928354409074,0.07053941908713691,0.07069620829178326,0.11522778228122767,0.11827956989247322,0.04758336160068996,0.04468836319409075,25161.3333333333,26260.0,25310.0,10.13895485353917,10.133063703580875,10.175802147856787
01354,0.0,60.959999999999994,28.84,37.63,8.790000000000003,60.959999999999994,9854.0,12544.000000000011,14274.0,14583.999999999989,9.195632743103909,9.566194979531012,9.43699774259019,9.587680316358497,0.3705622364271033,0.1506825737683073,0.30140044651918,0.33009495995349947,0.33319727641594243,0.34806194477867075,0.017966984825171284,0.03179682989676241,0.1628780190785468,0.17689732577447384,0.17613506461502804,0.17633906783207662,-0.0005582579423972223,0.013257045536481243,27939.7222222222,29370.0,29749.04761904762,10.300552397656233,10.237804690822454,10.287729024192666
01371,29.17,0.0,24.4,25.43,1.0300000000000011,-29.17,1350.0,1279.0,1221.0,1300.0,7.2078598714324755,7.107425474110705,7.153833801578843,7.170119543449628,-0.10043439732177095,0.01628574187078513,0.17460317460317454,0.21188428459734168,0.2130103602174465,0.25142532325303846,0.039541038655696775,0.03840718561427195,0.0701754385964912,0.07427677873338545,0.07612199294340107,0.12408344648848846,0.04980666775510301,0.005946554346909869,21919.1304347826,24640.0,22866.5,10.037428236389568,9.99511507032903,10.112126417647456
