COM,pop_2020,cadres_nb_2020,pop_2014,cadres_nb_2014,sup_nb_2020,sup_nb_2014,med_2019,med_2013,croissance_pop,pct_sup_2020,pct_sup_2014,delta_pct_diplome,pct_cadres_2020,pct_cadres_2014,delta_pct_cadres,log_med_13,log_med_19,score_gauche_2014,score_gauche_2020,delta_score_gauche
56098,0.2157303040076744,-0.13518879837840977,0.20386069407591473,-0.13211723285664995,0.017339280056502974,-0.024035980851278636,-0.47697829880648746,-0.4875187621969434,0.21880223970939597,-0.541549977848782,-0.677753066206723,0.3298192486151185,-0.6873986709988453,-0.6696376290144985,-0.24787904446387565,-0.4662293199637877,-0.44969289098975246,0.5503096969497624,-0.7460139829843723,-0.8328732874049966
56101,-0.26206625288375784,-0.2856504475896566,-0.2696413581490248,-0.2865117960589574,-0.2543011239499694,-0.273132807723141,-0.09921238907440587,-0.08417209792235586,0.26010789883924723,-0.3247925328521292,-0.5544089442225167,0.8179066387010511,-0.7658665674363687,-0.7137518255811536,-0.3887740437059195,-0.011480881031619237,-0.029206091671741315,-1.447729514098521,0.830729295196482,1.4470072924017958
56107,-0.25468740321713396,-0.14721713500278613,-0.2534652019996276,-0.14377210633695803,-0.1165151818519336,-0.11259468987982103,1.8184542519319624,2.035091608908225,-0.08257272601512924,1.689696530646533,1.6392891049296043,0.9636398888390785,0.7054301781888059,0.7086332927156568,0.1797358812001119,1.9654626107699822,1.7742641784618045,-1.447729514098521,-0.3816713072319454,0.6499758701929171
56118,-0.39010533557721827,-0.2943180822981062,-0.3871348379995826,-0.3073341774299563,-0.3264185485119682,-0.33246842801592946,0.11129838505110524,0.08937163400201838,-0.4049928220399922,0.024640049863406056,-0.32057478073556706,1.4580646543437512,-0.18815898900614184,-0.4151974142865686,0.739905963798877,0.17485385461227115,0.19416255275989885,0.5920886388264738,0.6242074166795285,0.041911426671435124
56121,1.321659459259233,0.5932171744773486,1.3953377757219267,0.6878248109423877,1.0336112260742008,1.05761027247322,-0.6384660159438659,-0.6079249949736828,-0.3166328148973964,0.2344767345063379,0.21070703615204028,0.20404030953383584,-0.07087899588845811,-0.027688040145425277,-0.16962343112651043,-0.6083421547541916,-0.6378054859556177,0.20369921619482295,1.1720030377103128,0.6437170912809779
56128,-0.47146517364051455,-0.34450551629388865,-0.47397350341887595,-0.3585400029528707,-0.39678157417495225,-0.38980625063667124,-0.4913968449794677,-0.38213622281777165,-0.1366853495610469,-0.824014272250266,-0.49973175599995606,-1.7262412869916006,-0.8687129360826831,-1.2931351480916375,1.2432739759857585,-0.3443327419005158,-0.46627592207206636,-0.07714811530973723,-0.7460139829843723,-0.4424217722063251
56152,-0.4388699072870804,-0.33042413718903335,-0.43802648975354946,-0.3279813817174854,-0.3610051572490777,-0.3609561192699695,-0.10497980754359795,-0.11612631796205586,-0.4481523417027586,0.09488373185638949,-0.1479796226127516,1.060297236021761,-0.6447324627324862,-0.41013887691010614,-0.9916068582114901,-0.04637650534513505,-0.035431648022005824,0.5576596959836284,-0.7460139829843723,-0.8374470104560292
56158,-0.3218990990935558,-0.24964009933737596,-0.3359436277984047,-0.26236212615390553,-0.24257317111530455,-0.248967858812071,0.3045069037690401,0.12435650840510411,0.6538050185935321,0.7037592057642488,0.7446585587031642,0.14190485350180831,-0.010272629735329658,-0.058215752208924054,0.1642161867807295,0.2117829032769252,0.39282826322783254,0.6516623152062292,-0.7460139829843723,-0.8959425210560767
56162,0.07447345582443556,0.03120530348873162,0.07704761808990218,0.03533207202577612,0.13512708910766835,0.14215182892971054,0.9821785738991101,0.9772892010245761,-0.0026643153108458816,0.8262332054740289,0.8563806532737744,0.24150703062645687,0.3180341575688094,0.29484445411900695,0.16683629625201404,1.0530835661478795,1.0465316536455223,0.46713865525075354,-0.7460139829843723,-0.7811180002485759
56165,-0.20630781496813902,-0.21492538473932993,-0.20716677976956374,-0.19882610974187445,-0.2042414746629735,-0.2066888599016697,0.027670817247820008,0.01916550090936334,0.01298677099191021,-0.14883114809203057,-0.17597601828618537,0.04752041183532949,-0.25936971906339923,-0.10736670780862875,-0.5996453338795833,0.10011129206356867,0.10631506569435129,-0.35606123654222754,-0.7460139829843723,-0.2688610185329329
56178,-0.036048879399561216,-0.17174091244745743,-0.05908505403156605,-0.16526939089620135,-0.08912021853736053,-0.09057484572821121,-0.376048475595626,-0.08534362883681523,0.5217690334654819,-0.17586826147634035,-0.03447392075820254,-0.671011351556895,-0.4566741550281159,-0.3673627338184359,-0.43466888317140806,-0.01275697020895844,-0.3347450238005987,-0.018734965093224087,0.20567105649357476,0.1468663345793393
56179,-0.39520636643371043,-0.3009514367888289,-0.40397667958722633,-0.29849651056585885,-0.3254765321570266,-0.32978212948421837,0.2035770805581786,0.11892421566708898,0.5302557144667682,0.17614095690618203,0.11654340702364993,0.328251739352949,-0.28467128656507745,-0.04938913458166455,-0.8965708882987508,0.20606238248397418,0.28978161304829236,0.04354660566742906,-0.7460139829843723,-0.517527119149596
56181,-0.43450676139725064,-0.3060771238149514,-0.43589629635115973,-0.31279965970495155,-0.3442730218846255,-0.3501627589715881,0.3765996346339412,-0.10704552467883659,-0.16441764187075963,0.7253085984562245,0.26871768836748405,2.2369113069123685,0.12274529942634381,0.04348743763105422,0.3092873622792633,-0.03644087202181439,0.4654761826740146,1.046628052762918,-0.7460139829843723,-1.1417199544826142
56184,-0.2655952679417084,-0.2668375781298207,-0.27762958340798616,-0.2753026487296508,-0.26767925576363666,-0.27492811584715676,-0.12516577218577024,-0.1168463808655707,0.44586192115766704,-0.499816081227174,-0.509921334048493,-0.18018368702147436,-0.5434550600655296,-0.5594382453176024,-0.09138890464881677,-0.047164999049131524,-0.05726668696744091,0.29267288871004193,-0.7460139829843723,-0.6725522583530145
56185,-0.23739522943317626,-0.25994594057984877,-0.23622394914903502,-0.23901090469612976,-0.2163917015991693,-0.22134195353882088,0.32757657764580844,0.2611866434794949,-0.06944103460606088,-0.014228830130489782,-0.10997093257609439,0.39500248235362156,-0.5737170695447574,-0.3508352263821071,-0.9315952593637865,0.3542473908281727,0.4161612698322236,0.2346465805479427,-0.7460139829843723,-0.6364439184764419
