COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
28218,-1.0,1.0,0.0,49.38,50.97,LDVG,LDVC,0.11275026932995108,0.1406853937298361,0.02793512439988502,0.03241496795509714,0.03567026427375721,16240.000000000007,15525.0,-715.0000000000073,17648.0,18900
28229,0.0,1.0,1.0,45.13,50.61,LUG,LDVG,0.1516653036204844,0.18323563942965185,0.03157033580916746,0.05032986932391744,0.06492765386393856,10557.999999999996,11186.0,628.0000000000036,18431.0,19690
29019,0.0,1.0,1.0,52.71,49.7,LUG,LUG,0.22308691580406761,0.2544592605823465,0.03137234477827891,0.08012287686093854,0.08870473785674383,139384.00000000003,139456.0,71.9999999999709,19050.8695652174,20520
29031,0.0,1.0,1.0,50.67,51.08,LSOC,LDVG,0.23979736409088412,0.28540540540540543,0.045608041314521314,0.07751392431214885,0.061621621621621624,4246.0,4625.0,379.0,21890.6666666667,23570
29039,0.0,0.0,0.0,55.8,44.55,LUD,LDVD,0.1899212127989587,0.23780257516090172,0.047881362361943014,0.047233879275263686,0.05819138838844056,19199.000000000004,20208.999999999996,1009.9999999999927,20109.0,22150
29042,0.0,0.0,0.0,51.97,35.34,LDVD,LDVC,0.17244122659888092,0.2184479669248809,0.04600674032599997,0.04603271539873233,0.046971022524302616,7619.000000000013,7360.00000000001,-259.00000000000273,20248.2608695652,22330
29046,0.0,0.0,0.0,58.57,57.19,LUMP,LDIV,0.1931023706537274,0.23417527899532378,0.04107290834159638,0.04807952584119446,0.05023433340479586,14483.0,13956.0,-527.0,19473.3333333333,20600
29105,0.0,0.0,0.0,42.79,52.24,LDVD,LDVD,0.17358282883874518,0.193976184526847,0.020393355688101827,0.039515685195376994,0.03114930515438316,9085.0,9203.999999999987,118.99999999998727,19458.6666666667,20770
29135,0.0,0.0,0.0,49.53,44.13,LDVD,LDVD,0.20584082552614588,0.2485421176863269,0.04270129216018101,0.042173098097168495,0.054432451738329654,4008.0,3980.0,-28.0,21689.0476190476,23820
29150,1.0,0.0,1.0,56.38,53.52,LDVD,LDVG,0.20344215977168847,0.2589787953659148,0.05553663559422631,0.04486613067994585,0.04714958357709075,6946.999999999989,6748.0,-198.9999999999891,21520.3703703704,22920
29151,1.0,0.0,1.0,51.82,54.95,LDVD,LUG,0.2142251525164401,0.2410812238265868,0.026856071310146723,0.05666382367903207,0.05876299570880346,14836.999999999996,14709.0,-127.99999999999636,18687.380952381,20090
29153,-1.0,1.0,0.0,52.33,48.03,LDVG,LNC,0.20959214501510573,0.24460964922522904,0.03501750421012331,0.0377643504531722,0.04647970066649443,2648.0,2694.0,46.0,21498.6666666667,23570
29158,-1.0,1.0,0.0,58.02,50.57,LDVG,LDIV,0.15654406710370125,0.19144288239090596,0.034898815287204704,0.031077983446869777,0.035768062107114945,5447.99999999998,5139.0,-308.99999999998,19591.9047619048,21530
29188,-1.0,1.0,0.0,50.04,52.74,LSOC,LNC,0.19786641256956033,0.24141359387598424,0.043547181306423904,0.03573868226613842,0.04577782939370081,3110.0,2724.0,-386.0,21226.1904761905,23120
29190,0.0,0.0,0.0,45.78,50.03,LDVD,LDVD,0.3015534040137952,0.3561032616959814,0.054549857682186176,0.11853988567966785,0.11072038062405559,4015.0,4299.0,284.0,23872.380952381,25830
29232,1.0,0.0,1.0,56.65,51.25,LUD,LUG,0.24745671594284893,0.27724922603547475,0.029792510092625818,0.0704338123234977,0.07417907732594559,63513.0,63472.99999999998,-40.00000000002183,19950.0,21540
30012,0.0,1.0,1.0,53.36,54.99,LDVG,LDVG,0.22208008674761215,0.21679328652415772,-0.00528680022345443,0.06516633996787242,0.04714332931723082,4047.0,4172.0,125.0,19981.75,21530
30028,-1.0,1.0,0.0,44.21,47.38,LSOC,LDVC,0.1524822942539295,0.17577104628021745,0.02328875202628794,0.04492864394854547,0.047294569929072446,18172.0,18072.0,-100.0,17141.0,18530
30033,0.0,0.0,0.0,50.96,49.33,LDIV,LDIV,0.17780666088894226,0.2010464576581285,0.02323979676918625,0.041810457932909245,0.0430308102300883,4613.000000000015,5323.0,709.9999999999854,19381.6666666667,21270
30075,0.0,0.0,0.0,49.4,43.69,LDIV,LDIV,0.23910272750446088,0.27619283988708143,0.037090112382620555,0.0813153199082335,0.06010180935579026,3923.0,4372.0,449.0,22623.9130434783,24080
30133,-1.0,1.0,0.0,43.68,58.2,LDVG,LDVC,0.14302781516133523,0.16026085752127994,0.017233042359944717,0.027117835694984264,0.030093461384098255,8372.000000000004,8356.0,-16.000000000003638,18933.3333333333,20670
