COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13
01001;806,0;-3,010454438171502;4,153373260510058;23970,0;22130,0
01002;262,0;2,1085938440145933;9,39884158091882;23640,0;23213,0
01004;14288,0;0,2837537072676266;4,37576255888802;20510,0;19554,0
01005;1782,0;0,23247163846010732;4,748297712217688;24050,0;22387,619047619
01007;2827,0;-0,1048901905626991;3,6411160623205454;23380,0;21650,6666666667
01008;768,0;-4,102968586418804;1,166905597303181;25450,0;23669,5238095238
01009;324,0;-4,531454352396477;4,329851985819861;23790,0;21486,25
01010;1101,0;0,09151330174999472;2,3635382310510806;23770,0;21015,3333333333
01011;368,0;-10,365593420293335;1,4264237881493855;24450,0;22690,0
01012;327,0;-11,025404524127312;-0,2845410566481803;21070,0;20211,0
01013;143,0;2,4456521739130395;-0,638569604086852;19900,0;19534,2857142857
01014;3336,0;-2,153330127066893;2,876899013774464;21460,0;19565,7142857143
01015;663,0;9,964261319608834;4,357927418265334;22700,0;21587,1428571429
01016;458,0;-1,7447971410552867;3,519407257725014;21840,0;20532,5
01017;445,0;-1,4285714285714286;6,280906577199804;20120,0;18644,7619047619
01021;1490,0;1,8316240166473268;4,73314713784826;24810,0;22960,6666666667
01022;1213,0;1,2426751345500282;5,73827684347593;20690,0;18782,0
01024;3299,0;1,3000432474579542;3,3463752491949137;22820,0;21300,5555555556
01025;4068,0;1,4849242396276034;2,1237375415474666;22970,0;21148,625
01026;977,0;4,140222657092012;2,642498313639308;21060,0;20546,0
01027;2647,0;-0,3977475530460133;6,123540482448849;24250,0;22476,0
01028;625,0;2,1202120212021196;1,5482619846946193;22560,0;22035,6
01029;683,0;-2,1301143395349174;1,17546484661068;20780,0;19184,0
01030;821,0;6,360517460674287;3,2745610592085583;22990,0;19916,0
01031;3671,0;-0,19829330492267339;1,0348965292461827;19570,0;18541,6666666667
01032;3414,0;-0,08946559959881206;1,523951932036546;21980,0;20256,0
01033;16434,00000000001;0,31244776608874325;3,1827767761526076;22440,0;19063,9130434783
01034;9206,999999999987;-0,06041744820981165;2,4757247364385364;20030,0;18549,0
01035;308,0;0,15384615384615374;5,82993129542966;24210,0;21729,6666666667
01036;1334,0;4,030143761242572;4,995305123181083;22890,0;20666,0
01037;309,0;-1,9560181842623696;6,556454301034403;21450,0;19788,3333333333
01038;759,0;-1,3191956796500826;5,398175917567034;22980,0;20839,0476190476
01039;439,0;3,061063649641815;-1,8320059020400699;21230,0;20048,0
01040;480,0;0,04024144869215274;1,6232714375841937;21610,0;20274,7619047619
