COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13;Score_Gauche_Ecolo_2020;Score_Bloc_Gauche_2014
01192;2272,0;0,659662232487837;4,590322878867365;22240,0;20589,0476190476;0,0;0,0
01194;6337,0;0,5469012484107321;3,98272210498698;22840,0;21018,4615384615;0,0;0,0
01195;1822,0;-2,6643438642704673;3,271051739303715;24440,0;22651,9047619048;0,0;100,0
01196;1241,0;1,7674023445200868;3,565897657506966;21520,0;20743,3333333333;0,0;28,807339449541285
01199;2129,0;-0,9940623999353866;3,0646556233502693;22060,0;19591,0;0,0;65,07430997876857
01202;7214,0;0,2587516869420811;4,672513539772957;22490,0;20407,6;32,726568551510454;27,533532041728765
01203;1306,0;3,281167590350326;6,86459202753726;23190,0;21579,1666666667;0,0;0,0
01211;1397,0;2,9788159817569877;1,613022076815145;23930,0;21551,0;0,0;100,0
01213;1332,0;-1,2485391488706714;2,4303023881135104;23480,0;21497,619047619;0,0;0,0
01224;3296,0;0,3962090260382229;1,795575538421673;22530,0;20638,8888888889;0,0;0,0
01229;1226,0;1,4983368531736048;1,456752526017791;23090,0;21033,3333333333;0,0;0,0
01231;1948,0;0,5534909121880975;4,2442118859836135;23750,0;20779,0;0,0;0,0
01232;2275,0;1,4298093397610732;5,040670936113898;22940,0;20095,2380952381;0,0;64,04199475065617
01237;1674,0;-1,4200108346896592;2,8103753786261656;22800,0;20184,4;0,0;0,0
01238;2709,0;0,8589601870141159;4,206889621827379;27410,0;24850,9523809524;0,0;0,0
01241;1379,0;-2,862065582892874;0,1061654232918023;24650,0;23787,619047619;0,0;0,0
01243;1262,0;1,50747254418736;3,9345165866860583;25670,0;23687,1428571429;0,0;0,0
01244;7998,0;1,9922496219022856;2,1862367237601674;23280,0;21367,619047619;0,0;32,878732030962034
01246;2204,0;0,9766919086649968;4,349648928516487;22590,0;20759,5;0,0;0,0
01248;2245,0;3,2455880720707366;6,421162066509574;28060,0;25003,3333333333;0,0;0,0
01249;10202,0;3,199092617026144;5,357391949717005;24860,0;22710,6666666667;0,0;57,94229087729524
01250;1979,0;1,2646295493935735;3,896781407873945;26310,0;24702,0952380952;0,0;0,0
01254;2142,0;1,2308500136791238;8,601164129841976;25970,0;24586,1904761905;0,0;0,0
01258;1194,0;-0,7307456928542475;7,377975431578399;25410,0;23115,6;0,0;0,0
01262;6864,0;0,0137019003691882;3,94720754634357;22780,0;20005,0;24,8315189217211;35,575009948269
01263;3761,0;0,132864382248897;3,4887002209648266;24320,0;22007,6666666667;0,0;0,0
01264;1017,0;-2,417112418559223;2,5809808192136003;24080,0;21551,3043478261;0,0;0,0
01265;3499,0;2,292478201821784;3,3838887818067107;19770,0;18042,5;0,0;0,0
01266;2576,0;-0,8996592155493355;3,172857000858677;21720,0;20097,3333333333;0,0;67,7626303127506
01267;1008,0;1,515728751766842;4,494020555889595;23400,0;20963,8095238095;0,0;57,14285714285714
01269;3453,0;1,146469778354362;4,550280952660117;17870,0;16359,6428571429;0,0;23,069679849340865
01272;1490,0;0,5823392407164119;5,112133101735601;22300,0;20780,6666666667;0,0;0,0
01273;1799,0;0,3785331880428657;3,6607913808260015;21690,0;20431,9047619048;0,0;63,20630749014454
