COM;ratio_cadres_20;P20_POP;ratio_cadres_14;P14_POP;ratio_sup_20;ratio_sup_14;MED19;MED13
01001;9,386239776704532;806,0;12,396694214876034;767,0;29,78973689687369;25,636363636363633;23970,0;22130,0
01002;9,800901536322286;262,0;7,6923076923076925;239,0;44,25598443806168;34,85714285714286;23640,0;23213,0
01004;6,9038028227224615;14288,0;6,620049115454835;14021,999999999998;27,42448258814535;23,04872002925733;20510,0;19554,0
01005;8,12720848056537;1782,0;7,894736842105263;1627,0;28,517397881996974;23,769100169779286;24050,0;22387,619047619
01006;10,526315789473685;113,0;5,555555555555555;109,0;28,71287128712881;13,684210526315791;;21871,6666666667
01007;9,630506714080335;2827,0;9,735396904643036;2570,0;30,404713262105144;26,7635971997846;23380,0;21650,6666666667
01008;7,977568326332872;768,0;12,080536912751677;743,0;29,94650486870573;28,77959927140255;25450,0;23669,5238095238
01009;1,7185456476035226;324,0;6,25;338,00000000000165;30,123502779470652;25,79365079365079;23790,0;21486,25
01010;5,16765543372969;1101,0;5,0761421319796955;1142,0;18,759202187690644;16,395663956639563;23770,0;21015,3333333333
01011;12,002827632338239;368,0;22,368421052631575;397,0;31,315722681138315;29,88929889298893;24450,0;22690,0
01012;1,8778212823242986;327,0;12,90322580645161;325,0000000000006;26,052907503022602;26,33744855967078;21070,0;20211,0
01013;8,69565217391304;143,0;6,25;157,0;15,740740740740735;16,379310344827587;19900,0;19534,2857142857
01014;3,424943469556226;3336,0;5,578273596623119;3405,0;18,293083027030168;15,416184013255704;21460,0;19565,7142857143
01015;14,716917746720263;663,0;4,7526564271114315;638,0000000000016;28,476280192578805;24,118352774313472;22700,0;21587,1428571429
01016;4,225352112676056;458,0;5,970149253731343;440,0;22,52252252252252;19,003115264797508;21840,0;20532,5
01017;0,0;445,0;1,4285714285714286;427,0;22,89629119258442;16,615384615384617;20120,0;18644,7619047619
01019;0,0;26,0;0,0;23,0;4,3478260869565215;5,263157894736842;;
01021;11,12598523968561;1490,0;9,294361223038285;1376,0;33,52755074491716;28,794403607068897;24810,0;22960,6666666667
01022;4,218104871968783;1213,0;2,9754297374187546;1193,0;21,36282822477017;15,624551381294241;20690,0;18782,0
01023;7,142857142857142;76,0;8,333333333333332;66,0;23,214285714285715;23,076923076923077;;
01024;7,172526468934466;3299,0;5,872483221476512;3386,000000000014;26,251403182155812;22,9050279329609;22820,0;21300,5555555556
01025;6,333153581954754;4068,0;4,8482293423271505;3177,0;27,203102620912546;25,07936507936508;22970,0;21148,625
01026;6,910305759585087;977,0;2,7700831024930745;881,0;20,059044032071817;17,41654571843251;21060,0;20546,0
01027;8,773843589114911;2647,0;9,171591142160924;2973,000000000007;23,529852265963726;17,40631178351488;24250,0;22476,0
01028;7,07070707070707;625,0;4,9504950495049505;585,0;23,04147465437788;21,49321266968326;22560,0;22035,6
01029;4,492790221004019;683,0;6,622904560538936;678,0000000000014;13,611674992726474;12,436210146115794;20780,0;19184,0
01030;13,097044406782071;821,0;6,736526946107785;886,0;23,72544672748553;20,45088566827697;22990,0;19916,0
01031;5,490496904248216;3671,0;5,6887902091708895;3655,999999999995;19,283808401091516;18,248911871845333;19570,0;18541,6666666667
01032;8,336700757761072;3414,0;8,426166357359884;3296,0;27,24079585469294;25,716843922656395;21980,0;20256,0
01033;6,212511910329698;16434,00000000001;5,900064144240955;11744,999999999996;23,644177986354517;20,46140121020191;22440,0;19063,9130434783
01034;4,58403697424321;9206,999999999989;4,6444544224530215;8983,0;24,73957124134389;22,263846504905352;20030,0;18549,0
01035;4,0;308,0;3,8461538461538463;321,0;35,9504132231405;30,12048192771084;24210,0;21729,6666666667
01036;9,184782936500305;1334,0;5,154639175257731;549,0;35,86778834465758;30,8724832214765;22890,0;20666,0
01037;2,1511667192732506;309,0;4,10718490353562;282,0;29,255993609466575;22,699539308432172;21450,0;19788,3333333333
01038;6,057853500677786;759,0;7,377049180327869;731,0;29,224890719011075;23,82671480144404;22980,0;20839,0476190476
01039;6,091366679944845;439,0;3,0303030303030303;467,0000000000008;18,511833639507206;20,34383954154728;21230,0;20048,0
01040;2,857142857142857;480,0;2,8169014084507045;477,0;21,38728323699422;19,764011799410028;21610,0;20274,7619047619
01041;6,006455292579284;748,0;7,4324324324324325;749,0;25,175596526283208;22,882882882882885;22810,0;21861,9047619048
01042;2,428541952892347;291,0;12,244897959183673;265,0;28,993250812955175;27,227722772277225;24570,0;23768,0
01043;18,290154581803826;4829,0;14,79944674965422;4541,0;42,63669738980759;35,77438454347149;28010,0;25327,1333333333
01044;5,658886286257265;628,0;8,035714285714285;594,9999999999986;24,919498989129206;22,85012285012285;25780,0;24782,7777777778
01045;19,53686042544512;285,0;7,547169811320755;284,9999999999992;35,9396962889308;29,34782608695652;26530,0;23901,6666666667
01046;3,6947316908363876;912,0;4,375;818,0000000000014;21,63647176040412;16,808149405772497;22870,0;20972,5
01047;13,846153846153847;1269,0;7,4324324324324325;972,0;39,83926521239954;35,64064801178203;25410,0;25184,0
01049;10,634328358208956;3335,0;9,764514113558091;2932,0;33,983877810776406;30,321283742351262;25350,0;24096,4
01050;0,0;380,0;4,166666666666666;323,0;18,75;14,71196043277994;20770,0;19179,5
01051;0,0;91,0;0,0;88,0;16,883116883116887;20,77922077922078;;
01052;17,605050354390432;332,0;6,349206349206349;300,0;34,3480748643611;31,877729257641914;26780,0;24708,0
01053;6,145273864912528;41681,0;5,876518605582876;40967,0;27,39169181417757;24,497227101652143;19290,0;18088,0
01054;14,794561305306797;1482,0;12,76595744680851;1270,0;36,86681261091026;34,63751438434983;26360,0;24336,6666666667
01056;10,91322998093985;351,0;1,4492753623188408;370,00000000000153;26,793632616997716;26,86567164179104;20200,0;17727,5
01057;3,896103896103896;514,0;2,702403220180858;512,0;25,405405405405407;21,783218584806754;22460,0;19870,4166666667
01058;3,816793893129771;819,0;3,015222529677398;860,9999999999981;24,958949096880133;21,54811722962464;22180,0;19369,4202898551
01060;8,446835484958626;486,0;3,7735849056603774;549,0000000000022;28,65593221577959;24,205378973105134;23990,0;21680,4166666667
01061;10,106382978723403;1133,0;8,287292817679559;1186,0;26,823529411764707;27,19714964370546;24200,0;22209,4444444444
01062;10,07886910758761;951,0;14,465408805031446;825,9999999999961;39,07089461922328;37,72241992882562;27790,0;25964,4444444444
01063;4,965981414896477;561,0;4,7058823529411775;514,0;28,249582215840785;21,483375959079286;24930,0;23666,0
01064;5,263157894736842;1095,0;5,161290322580645;973,0;18,915510718789406;13,704206241519673;22230,0;19868,3333333333
01065;13,109145152698956;1825,0;11,022480058013052;1754,0;34,74179346868989;32,22748815165877;25650,0;23388,6956521739
01066;7,142857142857142;92,0;0,0;71,0;21,53846153846152;24,561403508771928;;
01067;7,165731483107553;259,0;4,25531914893617;263,0;31,091640745153594;26,203208556149733;23180,0;20545,2173913043
01068;3,875968992248062;771,0;6,389275871077958;764,0;22,462562396006653;21,03841672663872;21270,0;19620,5
01069;7,681878871906187;1514,0;9,35251798561151;1465,999999999993;27,94721896783659;25,22167631680467;24070,0;22579,6
01071;14,857682328641935;5045,0;16,1714576564351;4797,00000000001;43,99604213997429;42,55806668448026;39170,0;35336,0
01072;8,24889723731978;3202,0;9,461798318675015;3068,0;35,6858081618387;33,8321875457399;24450,0;22138,8
01073;10,059805093029475;995,0;8,823529411764705;1007,0;29,28597194305097;26,018396846254927;23630,0;21771,25
01074;8,509934702332973;2574,0;6,170723737462142;2408,0;25,728837076839838;20,5502242859141;22050,0;20882,6086956522
01075;7,6923076923076925;1402,0;8,852830091496008;1234,0;27,745098039215687;23,844686612142375;23890,0;22893,6
01076;0,0;122,0;6,89655172413793;151,0;14,285714285714329;9,174311926605505;21600,0;18523,0
01077;3,1250000000000013;192,0;13,333333333333334;185,0;35,000000000000036;23,28767123287671;21620,0;20540,3888888889
