Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
34337,Villeneuve-lès-Maguelone,1.0,LDVG,F,NEGRET,Véronique,CHOISIR ET AGIR ENSEMBLE POUR VILLENEUVE,25.0,0.0,2.0,2203.0,30.55,51.07,yes
34343,Viols-le-Fort,3.0,LNC,F,DURAND,Anne,"VIOLS LE FORT : NATURE, CULTURE, PATRIMOINE",12.0,0.0,2.0,337.0,33.04,58.41,yes
34343,Viols-le-Fort,1.0,LNC,M,SINTES,Alexandre,HUMAIN ET ECOLOGISTE,3.0,0.0,0.0,240.0,23.53,41.59,no
35006,Argentré-du-Plessis,2.0,LDVD,M,BÉVIÈRE,Jean-Noël,"PROCHES DE VOUS, POUR UNE COMMUNE DYNAMIQUE ET SOLIDAIRE!",21.0,0.0,3.0,1132.0,31.95,56.77,yes
35006,Argentré-du-Plessis,1.0,LDVC,M,DODARD,Christophe,"Ensemble, construisons demain",6.0,0.0,1.0,862.0,24.33,43.23,no
35016,Baulon,3.0,LNC,F,GRIMAULT,Séverine,Baulon avec passion et raison !,4.0,0.0,1.0,343.0,22.43,44.72,no
35016,Baulon,2.0,LNC,F,PAQUET,Isabelle,VIVONS BAULON !,15.0,0.0,2.0,424.0,27.73,55.28,yes
35040,Breteil,2.0,LDVG,M,GICQUEL,Roland,"Breteil, ensemble",6.0,0.0,1.0,654.0,23.38,46.61,no
35040,Breteil,3.0,LDIV,F,OZOUX,Isabelle,OSONS BRETEIL,21.0,0.0,3.0,749.0,26.78,53.39,yes
35059,La Chapelle-des-Fougeretz,4.0,LDVG,F,LE FLOCH,Anne,POUR LA CHAPELLE ECOLOGIQUE ET SOLIDAIRE,19.0,0.0,1.0,771.0,22.71,41.83,yes
35059,La Chapelle-des-Fougeretz,1.0,LDIV,M,TROUFFLARD,Alain,DYNAMIQUE CHAPELLOISE,4.0,0.0,0.0,550.0,16.2,29.84,no
35059,La Chapelle-des-Fougeretz,2.0,LDIV,M,PINSAULT,François,"LCF 2020, ENSEMBLE AVEC LES CHAPELLOIS",4.0,0.0,0.0,522.0,15.38,28.32,no
35093,Dinard,2.0,LDVD,F,CRAVEIA SCHÜTZ,Martine,Dinard entre vert et mer,3.0,0.0,1.0,839.0,9.35,17.59,no
35093,Dinard,3.0,LDVC,M,POUTRIQUET,Christian,DINARD NATURELLEMENT,6.0,0.0,2.0,1916.0,21.36,40.17,no
35093,Dinard,1.0,LDVD,M,SALMON,Arnaud,DINARD NOTRE BIEN COMMUN,24.0,0.0,10.0,2015.0,22.47,42.24,yes
35101,Dourdain,2.0,LNC,M,MAILLARD,Michel,"Dourdain, ensemble vers demain",3.0,0.0,0.0,245.0,30.7,47.12,no
35101,Dourdain,3.0,LNC,F,COURTIGNÉ,Isabelle,"dourdain, l'avenir ensemble",12.0,0.0,2.0,275.0,34.46,52.88,yes
35145,Langon,1.0,LNC,M,COUANAULT,Gilles,LANGON HORIZON 2026,3.0,0.0,0.0,292.0,27.97,44.58,no
35145,Langon,2.0,LNC,M,COLLÉAUX,Jean Yves,J'AIME LANGON,12.0,0.0,2.0,363.0,34.77,55.42,yes
35188,Montfort-sur-Meu,1.0,LDVG,M,DALINO,Fabrice,PARTAGEONS NOS FORCES : INVENTONS DEMAIN!,23.0,0.0,6.0,1461.0,28.23,53.81,yes
35188,Montfort-sur-Meu,3.0,LDVD,F,DAVID,Delphine,"MONTFORT, L'ÉNERGIE DU COLLECTIF",5.0,0.0,2.0,1029.0,19.88,37.9,no
35188,Montfort-sur-Meu,2.0,LDIV,F,HUET,Véronique,"MONTFORT POUR VOUS, AVEC VOUS",1.0,0.0,0.0,225.0,4.35,8.29,no
35228,Pleurtuit,1.0,LDVG,M,LAUNAY,Alain,ENSEMBLE AGISSONS POUR NOTRE TERRITOIRE,7.0,0.0,2.0,1256.0,23.4,44.89,no
35228,Pleurtuit,3.0,LDVD,F,BEZIER,Sophie,Pour Pleurtuit,22.0,0.0,6.0,1404.0,26.16,50.18,yes
35228,Pleurtuit,2.0,LDVD,M,LAUTH,Robert,PLEURTUIT VOTRE VILLE DE DEMAIN,0.0,0.0,0.0,138.0,2.57,4.93,no
35238,Rennes,1.0,LREM,F,GANDON,Carole,RÉVÉLER RENNES,5.0,0.0,4.0,6251.0,5.36,17.49,no
