Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
59512,Roubaix,LUD,M,DELBAR,Guillaume,Guillaume DELBAR un avenir pour ROUBAIX,36,0.0,10.0,6949.0,14.91,34.85,yes
59512,Roubaix,LDVG,M,RENARD,André,NOUS C'EST ROUBAIX,4,0.0,1.0,2985.0,6.41,14.97,no
59514,Rousies,LDVG,F,SULECK,Josiane,FAISONS VIVRE ROUSIES,21,0.0,2.0,1008.0,33.6,51.38,yes
59514,Rousies,LSOC,M,ROCHE,Pierre,Pour Rousies Avançons Ensemble,6,0.0,1.0,954.0,31.8,48.62,no
59524,Sainghin-en-Weppes,LDVD,M,CORBILLON,Matthieu,VIVRE A SAINGHIN,21,0.0,1.0,1133.0,26.63,39.02,yes
59524,Sainghin-en-Weppes,LSOC,F,MENU,Elisabeth,CONTINUONS POUR LES SAINGHINOIS,5,0.0,0.0,1086.0,25.52,37.4,no
59524,Sainghin-en-Weppes,LFG,M,DUTOIT,Paul,AGIR ENSEMBLE POUR SAINGHIN,3,0.0,0.0,685.0,16.1,23.59,no
59525,Sains-du-Nord,LDVG,M,MARION,Eric,SAINS DU NORD AVEC COEUR ET AMBITION,4,0.0,1.0,441.0,21.89,31.1,no
59525,Sains-du-Nord,LDVD,F,BASQUIN,Christine,Motivés au Service des Sainsois,17,0.0,5.0,634.0,31.46,44.71,yes
59525,Sains-du-Nord,LDVG,M,LACROIX,Michel,REUNIS POUR AGIR,1,0.0,0.0,190.0,9.43,13.4,no
59525,Sains-du-Nord,LDVG,F,WAUTRICHE-LIXON,Marie-Camille,LE RENOUVELLEMENT : UNE ÉQUIPE SOLIDAIRE POUR LE PROGRÈS,1,0.0,0.0,153.0,7.59,10.79,no
59553,Santes,LUD,M,BARRET,Philippe,"SANTES, LES RACINES DE L'AVENIR",22,0.0,1.0,1567.0,33.53,50.13,yes
59553,Santes,LDVD,M,IDOUX,Jean-Marc,"Energiesantes, un nouvel élan pour Santes !",7,0.0,0.0,1559.0,33.36,49.87,no
59564,La Sentinelle,LSOC,F,SOPO,Bernadette,LA SENTINELLE PLUS FORTE AVEC VOUS,18,0.0,2.0,731.0,30.4,50.21,yes
59564,La Sentinelle,LCOM,M,BLONDIAUX,Roger,La Sentinelle pour tous,5,0.0,0.0,725.0,30.15,49.79,no
59569,Sin-le-Noble,LFG,M,CAMPISANO,Vincent,SINCERES AVEC VOUS,1,0.0,0.0,615.0,5.72,9.53,no
59569,Sin-le-Noble,LDVD,M,DUMONT,Christophe,"Pour Sin-le-Noble, Ensemble et Autrement",24,0.0,4.0,2618.0,24.33,40.58,yes
59569,Sin-le-Noble,LFN,M,WOSINSKI,Bruno,SIN LE NOBLE BLEU MARINE,4,0.0,0.0,1505.0,13.99,23.33,no
59569,Sin-le-Noble,LSOC,M,ENTEM,Christian,"SIN LE NOBLE, DURABLE ET SOLIDAIRE",4,0.0,1.0,1714.0,15.93,26.57,no
59571,Solesmes,LDVG,M,SEIGNEZ,Pierre,BATISSONS SOLESMES ENSEMBLE,2,0.0,1.0,450.0,13.05,18.42,no
59571,Solesmes,LDVD,M,MACHEPY,Serge,SOLESMES RENOUVEAU,5,0.0,1.0,859.0,24.91,35.16,no
59571,Solesmes,LDVD,M,SAGNIEZ,Paul,SOLESMES @ VENIR,20,0.0,6.0,1134.0,32.88,46.42,yes
59599,Tourcoing,LUD,M,DARMANIN,Gérald,Vive Tourcoing avec Gérald DARMANIN,39,0.0,10.0,13972.0,21.98,45.61,yes
59599,Tourcoing,LUG,M,DELANNOY,Michel François,"UN AVENIR POUR CHACUN, UNE FORCE POUR TOURCOING",11,0.0,3.0,13301.0,20.92,43.42,no
59599,Tourcoing,LFN,M,BLOC,Jean-François,TOURCOING BLEU MARINE,3,0.0,0.0,3358.0,5.28,10.96,no
59606,Valenciennes,LCOM,M,DULIEU,Jean-Claude,Valenciennes Citoyenne,3,0.0,1.0,2133.0,8.67,16.68,no
59606,Valenciennes,LFN,M,LAURENT,Jean-Luc,VALENCIENNES BLEU MARINE,2,0.0,0.0,1330.0,5.4,10.4,no
59606,Valenciennes,LDVD,M,LEGRAND,Didier,VALENCIENNOIS JE ME BATS POUR TOI,5,0.0,1.0,2888.0,11.74,22.59,no
59606,Valenciennes,LUD,M,DEGALLAIX,Laurent,"VALENCIENNES, POUR VOUS, AVEC VOUS",33,0.0,8.0,6434.0,26.15,50.32,yes
